,Name,Rating,Reviews,Price,Street Name,Zip Code,City,Cluster
85,Tenno Sushi,4.0,2097,2,S,90012,Los Angeles,0
86,Bluewater Grill - Avalon,4.0,2103,2,Crescent,90704,Avalon,0
87,Muraya,4.0,160,2,N,90004,Los Angeles,1
88,Sushi Kura,4.0,433,2,W,90045,Los Angeles,1
89,California Rock'n Sushi - Los Angeles,4.5,301,2,S,90005,Los Angeles,1
90,i.8sushi2go - SAN FERNANDO VALLEY ,4.5,283,2,Stagg,91405,Los Angeles,1
91,Yamakase,4.5,271,4,Santa,90025,Los Angeles,1
92,Sakana Sushi Lounge,4.0,402,2,W,90015,Los Angeles,1
93,Sake House by Hikari,4.0,415,2,W,90020,Los Angeles,1
94,KazuNori: The Original Hand Roll Bar,4.5,289,2,Wilshire,90048,Los Angeles,1
95,The Brothers Sushi,4.0,40,0,Montana,90403,Santa Monica,1
96,Wabi on Rose,4.0,502,3,Rose,90291,Venice,1
97,Hamasaku,4.0,654,4,Santa,90025,Los Angeles,1
98,Daikokuya Sawtelle,4.0,1963,2,Sawtelle,90064,Los Angeles,0
99,Sake House Miro,4.0,502,2,S,90036,Los Angeles,1
100,715 Sushi,5.0,23,0,E,90013,Los Angeles,1
101,Otomisan Restaurant,4.5,469,2,E,90033,Los Angeles,1
102,Crazy Rock'N Sushi,4.0,1400,2,Santa,90046,West Hollywood,1
103,Hanabi,4.5,111,2,Beverly,90004,Los Angeles,1
104,Hiko Sushi,4.0,411,3,National,90064,Los Angeles,1
105,Sushi Ai,4.0,150,2,Hillhurst,90027,Los Angeles,1
106,Kiitsu,4.5,87,4,San,90049,Los Angeles,1
107,OOTORO Little Tokyo,4.5,199,0,E,90012,Los Angeles,1
108,Sushi Roku,4.0,77,3,N,90266,Manhattan Beach,1
109,ShaBuShi,4.0,536,2,Sunset,90027,Los Angeles,1
110,Aikan Sushi,4.5,519,3,Tampa,91324,Northridge,1
111,Kazuki Sushi,4.0,652,2,Sherman,91605,Los Angeles,1
112,Umaya LA,4.5,99,2,Wilshire,90010,Los Angeles,1
113,Taisho,4.5,779,0,Ventura,91423,Sherman Oaks,1
114,SUGARFISH by sushi nozawa,4.0,1057,3,N,90210,Beverly Hills,1
115,Yakumi,4.5,218,2,W,91505,Burbank,1
116,MORIHIRO,4.5,85,4,Glendale,90039,Los Angeles,1
117,HRB Experience,4.0,334,2,Santa,90067,Los Angeles,1
118,Asuka,4.5,254,3,Westwood,90024,Los Angeles,1
119,SUGARFISH by sushi nozawa,4.0,1221,3,San,90049,Los Angeles,1
120,Noma,4.0,870,2,Wilshire,90403,Santa Monica,1
121,Sushi Kiyono,4.0,271,2,S,90212,Beverly Hills,1
122,Kochi,4.5,318,2,N,90048,West Hollywood,1
123,Sushi Enya - Marina Del Rey,4.5,195,3,Washington,90292,Marina del Rey,1
124,California Roll Factory,4.0,731,2,Santa,90025,Los Angeles,1
125,Hilo Sushi,5.0,43,0,1/2,90212,Beverly Hills,1
126,Shiki Sushi,4.0,1371,2,Ventura,91604,Studio City,1
127,Tsuri,4.5,760,2,Melrose,90038,Los Angeles,1
128,Sushi Dan,4.0,1829,2,Ventura,91604,Studio City,0
129,Belles Beach House,4.5,722,0,Windward,90291,Los Angeles,1
130,AZAI SUSHI,4.5,59,0,N,90210,Beverly Hills,1
131,Niko Sushi,4.5,469,3,Ventura,91356,Tarzana,1
132,Kanpai Japanese Sushi Bar & Grill 2,4.0,813,2,S,90045,Los Angeles,1
133,So Sushi,4.5,1058,2,Ventura,91356,Tarzana,1
134,Katsuya Brentwood,4.0,1243,4,San,90049,Brentwood,1
135,Masakazu,4.0,111,4,Westwood,90025,Los Angeles,1
136,Yabu Restaurant,4.0,481,2,W,90064,Los Angeles,1
137,Toshi Sushi,4.5,121,2,W,90247,Gardena,1
138,Niku Nashi Sushi,5.0,36,0,Melrose,90036,Los Angeles,1
139,Yama Seafood,4.5,1536,2,W,91776,San Gabriel,0
140,Sunny Blue,4.0,498,1,Washington,90066,Los Angeles,1
141,Katana,4.0,2105,3,W,90069,West Hollywood,0
142,Murakami,4.5,673,2,Melrose,90046,Los Angeles,1
143,Hannosuke,3.5,401,2,S,90066,Los Angeles,1
144,Kenbey Sushi,4.5,42,0,Sunset,90029,Los Angeles,1
145,Japonica - Hermosa Beach,4.5,359,2,Hermosa,90254,Hermosa Beach,1
146,Moto Azabu Sushi Bar & Grill,4.0,350,3,Washington,90292,Marina del Rey,1
147,Tom's Sushi House,4.0,441,2,Santa,90025,Los Angeles,1
148,Sushi Mashiko,4.0,174,2,Jefferson,90230,Culver City,1
149,OTTO SUSHI,4.5,78,0,Van,91405,San Fernando Valley,1
150,Sushi Nishi,4.0,544,2,Agoura,91302,Calabasas,1
151,Ami Japanese Restaurant,3.5,1793,2,Broxton,90024,Los Angeles,0
152,Teru Sushi,4.0,903,2,Ventura,91604,Studio City,1
153,Kombu Sushi,4.5,202,2,S,90013,Los Angeles,1
154,Ariyoshi Sushi Cafe Izakaya,4.0,1216,2,Wilshire,90036,Los Angeles,1
155,Sushi Takeda,4.5,116,4,Astronaut,90012,Los Angeles,1
156,Japonica - Redondo Beach,4.5,1465,2,1/2,90277,Redondo Beach,0
157,Umigame Japanese Kitchen,4.5,511,2,Ventura,91423,Los Angeles,1
158,Sushi Tsujita,4.0,367,4,Sawtelle,90025,Los Angeles,1
159,Sushi Katsu-Ya Studio City,4.0,1321,2,Ventura,91604,Studio City,1
160,Teriyaki Sushi House,4.5,247,2,Long,90280,South Gate,1
161,Kopan Sushi & Ramen Bar - Beverly Grove,4.0,356,2,W,90048,Los Angeles,1
162,Kaiba Japanese Restaurant,4.5,2842,2,S,91754,Monterey Park,0
163,Fusion Sushi - Manhattan Beach,4.0,918,2,Morningside,90266,Manhattan Beach,1
164,The Lobster Trap,4.0,2091,2,Catalina,90704,Avalon,0
165,Kombu Sushi,4.0,603,2,Sunset,90026,Los Angeles,1
166,Sakura House,4.0,350,2,W,90066,Los Angeles,1
167,Starfish Sushi,4.0,360,2,N,90027,Los Angeles,1
168,Sushi Dan - Los Angeles,4.5,77,2,Santa,90029,Los Angeles,1
169,Ebaes,4.0,959,2,S,90007,Los Angeles,1
170,Hwal A Kwang Jang,4.0,231,2,S,90005,Los Angeles,1
171,Sushi 101,4.0,298,2,S,90035,Los Angeles,1
