Name,Rating,Reviews,Price,Location,ReviewsData
Sushi Gen,4.5,4205,$$$,"{'address1': '422 E 2nd St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['422 E 2nd St', 'Los Angeles, CA 90012']}","['Sushi Gen is a well-known sushi restaurant located in the Little Tokyo neighborhood of downtown Los Angeles, California. The restaurant has been open since...', 'Best place to eat sushi and the serves is great.... Thank :) I recommended this place', ""Sushi Gen doesn't have over 7300 reviews and 4.5 stars for nothing. This place is the most amazing sushi place anyone can dine at. There's normally always a...""]"
Haru Omakase Sushi,4.5,45,$$$,"{'address1': '1248 Westwood Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90024', 'country': 'US', 'state': 'CA', 'display_address': ['1248 Westwood Blvd', 'Los Angeles, CA 90024']}","[""This is some of the best sushi and Wagyu beef I've ever tasted in my life. Though this was delivered, it blew away my expectations. I've never paid this..."", 'Did a bunch of research on affordable Omakase and decided to drive over across town for a Saturday night dinner. Unfortunately, they are takeout only now...', 'If you are a Dad-To-Be having your baby delivered at UCLA Ronald Reagan Medical Center, I highly recommend ordering delivery from here as first meal for mom...']"
Sushi Ippo,4.0,1737,$$$,"{'address1': '3800 Wilshire Blvd', 'address2': 'Ste 110F', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90010', 'country': 'US', 'state': 'CA', 'display_address': ['3800 Wilshire Blvd', 'Ste 110F', 'Los Angeles, CA 90010']}","['Went here after attending a conference near by. Staff were very kind and attentive. Sushi was really good especially their specialty rolls. Definitely...', ""I came here on a weekend for AYCE sushi and it's one of the best spots I've been to! We came on a Saturday afternoon for a late lunch/early dinner. It..."", ""My boyfriend and I were in the Wilshire area so we stumbled upon this AYCE sushi restaurant! There were 3 different options, the $49.99 where you're allowed...""]"
Sushi Fumi,4.5,480,$$,"{'address1': '359 N La Cienega Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90048', 'country': 'US', 'state': 'CA', 'display_address': ['359 N La Cienega Blvd', 'Los Angeles, CA 90048']}","['So yummy! Service was quick and friendly. I waited about 20 minutes at 6:45 PM. \n\nMonkfish nigiri - Soooo creamy and well dressed, will definitely order...', 'Sushi was so so. The sauce overwhelms much of the fish and it was pretty mediocre at best. We ordered the salmon teriyaki and it was legitimately burned. We...', 'Very very, did I say very ? busy restaurant. \nAnd very loud. \nBut there is a good vibe coming from the sushi-men working. \nTried it once and it was good....']"
Kappo Miyabi,4.5,761,N/A,"{'address1': '702 Arizona Ave', 'address2': 'Ste BB', 'address3': '', 'city': 'Santa Monica', 'zip_code': '90401', 'country': 'US', 'state': 'CA', 'display_address': ['702 Arizona Ave', 'Ste BB', 'Santa Monica, CA 90401']}","['I went here for lunch. Follow me!\n\nHighlights of the menu:\n1. Lunch premium sushi omakase (8pcs):\n- Snowcrab handroll \n- Hamachi (yellow tail) sushi \n-...', 'We loved Kappo Miyabi! Came here for an anniversary dinner and our eyes were definitely bigger than our stomaches. We got all the top recommended items....', 'The $25 lunch DineLA is a steal. The portion is adequate with 10 pcs of sushi. It looks little I thought, but I was full after finishing \n\nParking is on the...']"
Hello Fish,4.5,452,$$$,"{'address1': '414 S Western Ave', 'address2': 'Ste B', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['414 S Western Ave', 'Ste B', 'Los Angeles, CA 90020']}","['This is my second time eating at Hello Fish! Food quality is good and fresh with lots of variations to choose from. \n\nI mainly ate the nigiri sushi. It was...', 'I used to come to this place before when they had a different menu which I think was better, but still, for an AYCE sushi this place is a great option in...', 'One of very few places to eat in Ktown for AYCE. Anyhow, we end up at this establishment as my kids want to eat ebi nigiri and udon.\n\nI have to say the...']"
Oops! Sushi & Sake Bar,4.0,729,$$,"{'address1': '11670 W Gateway Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['11670 W Gateway Blvd', 'Los Angeles, CA 90064']}","['Seriously a hidden gem in Los Angeles and extremely well priced! \n\nThere is plenty of free parking. \n\nYou even get a free gyoza appetizer which was...', 'Great value for tasty food. \nService was prompt and friendly. We were seated right away and given menus. Decided to eat at one of the three outdoor tables...', 'Love the Crispy(or candy?) roll. The LOL roll is a great 2nd, and their tempura veggies are delish! \n\nCustomer service is not the best to me, but I usually...']"
Sur Sushi Food Truck,4.5,300,$,"{'address1': '15204 Plummer St', 'address2': '', 'address3': '', 'city': 'North Hills', 'zip_code': '91343', 'country': 'US', 'state': 'CA', 'display_address': ['15204 Plummer St', 'North Hills, CA 91343']}","['I really like they treated us. The  food is delicious and the taste is good \nI will be coming back.', ""Always fast, always delicious. Wonderful to have this restaurant so close to home. You can text them your order or call it in for pick up. Wait isn't long..."", 'Great Food. Sushi is on point. My Favorite go to Item The Pacoima Roll and the Dragón Egg']"
Sushi Sasabune,4.5,1092,$$$$,"{'address1': '11917 Wilshire Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['11917 Wilshire Blvd', 'Los Angeles, CA 90025']}","['In A Nutshell:\n\n-This Sushi Sasabune location is superb.\n-Like most reviews have already stated, this is a traditional Japanese restaurant.\n-One thing that...', 'Although it appears non descript the restaurant is quite decorative inside. Be aware this is a ""traditional"" Japanese sushi place so no Spicy tuna rolls or...', 'Best place to go to on the west side for laidback authentic Japanese sushi. Staff were nice and friendly, I love how the chef greet you together when you...']"
NDMK Fish House,4.5,498,$$,"{'address1': '109 Clarissa Ave', 'address2': '', 'address3': None, 'city': 'Avalon', 'zip_code': '90704', 'country': 'US', 'state': 'CA', 'display_address': ['109 Clarissa Ave', 'Avalon, CA 90704']}","['We ordered fish tacos with different fish and it was good and service was friendly. Would stop by again', 'Dining - Clarissa Avenue [Avalon, Catalina Island]\n\nAfter our short island adventure on a rented golf cart we were going to do some more shopping but...', 'Such fresh delicious food. Really enjoyed the fish. \nLoved the ambiance and family oriented business. \nGreat server!']"
